ts,avg,measurement,occupied,autoCnt,manualCnt,dmccLatencyMs,autoCntAtRecord,manualCntAtRecord
1755690262828,98.0,98.0,false,1,0,1,1,0
1755690267819,100.0,102.0,true,2,0,1,2,0
1755690272822,99.66666666666667,99.0,true,3,0,1,3,0
1755690277817,100.0,101.0,true,4,0,1,4,0
1755690282827,100.8,104.0,true,5,0,1,5,0
1755690287825,100.4,96.0,true,6,0,1,6,0
1755690292807,99.2,96.0,true,7,0,1,7,0
1755690297825,97.8,92.0,true,8,0,1,8,0
1755690302815,94.6,85.0,true,9,0,1,9,0
1755690307813,91.6,89.0,true,10,0,1,10,0
1755690312812,89.2,84.0,true,11,0,1,11,0
1755690317805,85.4,77.0,true,12,0,1,12,0
1755690322822,81.2,71.0,true,13,0,1,13,0
1755690327809,78.2,70.0,true,14,0,1,14,0
1755690332825,75.4,75.0,true,15,0,1,15,0
1755690337813,73.0,72.0,true,16,0,1,16,0
1755690342808,71.8,71.0,true,17,0,1,17,0
1755690347817,72.2,73.0,true,18,0,1,18,0
1755690352824,73.2,75.0,true,19,0,1,19,0
1755690357812,72.0,69.0,true,20,0,1,20,0
1755690362812,72.4,74.0,true,21,0,1,21,0
1755690367818,74.4,81.0,true,22,0,1,22,0
1755690372822,76.0,81.0,true,23,0,1,23,0
1755690377818,75.8,74.0,true,24,0,1,24,0
1755690382817,75.6,68.0,true,25,0,1,25,0
1755690387814,75.4,73.0,true,26,0,1,26,0
1755690392816,73.6,72.0,true,27,0,1,27,0
1755690397820,70.8,67.0,true,28,0,1,28,0
1755690402825,70.6,73.0,true,29,0,1,29,0
1755690407814,72.2,76.0,true,30,0,1,30,0
1755690412809,72.2,73.0,true,31,0,1,31,0
1755690417824,72.2,72.0,true,32,0,1,32,0
1755690422802,71.6,64.0,true,33,0,1,33,0
1755690427818,70.2,66.0,true,34,0,1,34,0
1755690432817,69.2,71.0,true,35,0,1,35,0
1755690437824,68.6,70.0,true,36,0,1,36,0
1755690442810,68.2,70.0,true,37,0,1,37,0
1755690447817,68.4,65.0,true,38,0,1,38,0
1755690452825,69.0,69.0,true,39,0,1,39,0
1755690457810,69.2,72.0,true,40,0,1,40,0
1755690462822,69.4,71.0,true,41,0,1,41,0
1755690467811,70.2,74.0,true,42,0,1,42,0
1755690472838,72.2,75.0,true,43,0,1,43,0
1755690477820,73.4,75.0,true,44,0,1,44,0
1755690482832,74.0,75.0,true,45,0,1,45,0
1755690487817,75.2,77.0,true,46,0,1,46,0
1755690492815,74.4,70.0,true,47,0,1,47,0
1755690497817,73.0,68.0,true,48,0,1,48,0
1755690502823,71.6,68.0,true,49,0,1,49,0
1755690507815,70.2,68.0,true,50,0,1,50,0
1755690512816,69.8,75.0,true,51,0,1,51,0
1755690517812,70.8,75.0,true,52,0,1,52,0
1755690522818,71.2,70.0,true,53,0,1,53,0
1755690527828,72.8,76.0,true,54,0,1,54,0
1755690532827,74.4,76.0,true,55,0,1,55,0
1755690537823,74.0,73.0,true,56,0,1,56,0
1755690542809,72.0,65.0,true,57,0,1,57,0
1755690547824,71.2,66.0,true,58,0,1,58,0
1755690552807,69.6,68.0,true,59,0,1,59,0
1755690557817,67.2,64.0,true,60,0,1,60,0
1755690562824,65.6,65.0,true,61,0,1,61,0
1755690567817,66.4,69.0,true,62,0,1,62,0
1755690572826,66.4,66.0,true,63,0,1,63,0
1755690577807,63.8,55.0,true,64,0,1,64,0
1755690582819,63.6,63.0,true,65,0,1,65,0
1755690587816,64.2,68.0,true,66,0,1,66,0
1755690592814,65.4,75.0,true,67,0,1,67,0
1755690597825,66.8,73.0,true,68,0,1,68,0
1755690602806,71.4,78.0,true,69,0,1,69,0
1755690607812,75.2,82.0,true,70,0,1,70,0
1755690612827,78.8,86.0,true,71,0,1,71,0
1755690617824,80.6,84.0,true,72,0,1,72,0
1755690622805,84.8,94.0,true,73,0,1,73,0
1755690627820,88.0,94.0,true,74,0,1,74,0
1755690632819,90.0,92.0,true,75,0,1,75,0
1755690637818,91.6,94.0,true,76,0,1,76,0
1755690642823,93.0,91.0,true,77,0,1,77,0
1755690647817,92.4,91.0,true,78,0,1,78,0
1755690652803,91.2,88.0,true,79,0,1,79,0
1755690657822,88.4,78.0,true,80,0,1,80,0
1755690662810,85.6,80.0,true,81,0,1,81,0
1755690667831,85.2,89.0,true,82,0,1,82,0
1755690672812,83.8,84.0,true,83,0,1,83,0
1755690677812,84.8,93.0,true,84,0,1,84,0
1755690682817,89.6,102.0,true,85,0,1,85,0
1755690687816,94.8,106.0,true,86,0,1,86,0
1755690692815,98.8,109.0,true,87,0,1,87,0
1755690697817,104.6,113.0,true,88,0,1,88,0
1755690702822,106.8,104.0,true,89,0,1,89,0
1755690707809,108.4,110.0,true,90,0,1,90,0
1755690712816,109.0,109.0,true,91,0,1,91,0
1755690717815,108.0,104.0,true,92,0,1,92,0
1755690722825,105.4,100.0,true,93,0,1,93,0
1755690727817,104.4,99.0,true,94,0,1,94,0
1755690732817,102.0,98.0,true,95,0,1,95,0
1755690737808,98.6,92.0,true,96,0,1,96,0
1755690742825,96.6,94.0,true,97,0,1,97,0
1755690747809,94.6,90.0,true,98,0,1,98,0
1755690752818,93.4,93.0,true,99,0,1,99,0
1755690757813,90.6,84.0,true,100,0,1,100,0
1755690762824,89.2,85.0,true,101,0,1,101,0
1755690767814,89.8,97.0,true,102,0,1,102,0
