ts,avg,measurement,occupied,autoCnt,manualCnt,dmccLatencyMs,autoCntAtRecord,manualCntAtRecord
1756817252590,NaN,-1,false,0,1,1,ERROR-null-result,
1756817257601,NaN,-1,false,0,1,1,ERROR-null-result,
1756817262592,NaN,-1,false,0,1,1,ERROR-null-result,
1756817267604,NaN,-1,false,0,1,1,ERROR-null-result,
1756817272593,NaN,-1,false,0,1,1,ERROR-null-result,
1756817277592,NaN,-1,false,0,1,1,ERROR-null-result,
1756817282606,NaN,-1,false,0,1,1,ERROR-null-result,
1756817287605,NaN,-1,false,0,1,1,ERROR-null-result,
1756817292602,NaN,-1,false,0,1,1,ERROR-null-result,
1756817297582,NaN,-1,false,0,1,1,ERROR-null-result,
1756817302595,NaN,-1,false,0,1,1,ERROR-null-result,
1756817307596,NaN,-1,false,0,1,1,ERROR-null-result,
1756817312592,NaN,-1,false,0,1,1,ERROR-null-result,
1756817317597,NaN,-1,false,0,1,1,ERROR-null-result,
1756817322593,NaN,-1,false,0,1,1,ERROR-null-result,
1756817327596,NaN,-1,false,0,1,1,ERROR-null-result,
1756817332592,NaN,-1,false,0,1,1,ERROR-null-result,
1756817337592,NaN,-1,false,0,1,1,ERROR-null-result,
1756817342590,NaN,-1,false,0,1,1,ERROR-null-result,
1756817347597,NaN,-1,false,0,1,1,ERROR-null-result,
1756817352596,NaN,-1,false,0,1,1,ERROR-null-result,
1756817357597,NaN,-1,false,0,1,1,ERROR-null-result,
1756817362593,NaN,-1,false,0,1,1,ERROR-null-result,
1756817367592,NaN,-1,false,0,1,1,ERROR-null-result,
1756817372598,NaN,-1,false,0,1,1,ERROR-null-result,
1756817377592,NaN,-1,false,0,1,1,ERROR-null-result,
1756817382582,NaN,-1,false,0,1,1,ERROR-null-result,
1756817387601,NaN,-1,false,0,1,1,ERROR-null-result,
1756817392582,NaN,-1,false,0,1,1,ERROR-null-result,
1756817397602,NaN,-1,false,0,1,1,ERROR-null-result,
1756817402586,NaN,-1,false,0,1,1,ERROR-null-result,
1756817407598,NaN,-1,false,0,1,1,ERROR-null-result,
1756817412581,NaN,-1,false,0,1,1,ERROR-null-result,
1756817417598,NaN,-1,false,0,1,1,ERROR-null-result,
1756817422582,NaN,-1,false,0,1,1,ERROR-null-result,
1756817427608,NaN,-1,false,0,1,1,ERROR-null-result,
1756817432581,NaN,-1,false,0,1,1,ERROR-null-result,
1756817437595,NaN,-1,false,0,1,1,ERROR-null-result,
1756817442594,NaN,-1,false,0,1,1,ERROR-null-result,
1756817447593,NaN,-1,false,0,1,1,ERROR-null-result,
